CustomerID,Gender,Age,Marital,address,Retired,Annual Income (k$),Spending Score (1-100)
1005,Female,23,1,13,0,16,77
1006,Female,19,1,14,0,13,39
1007,Male,24,1,20,0,7,25
1008,Female,22,1,3,0,12,25
1009,Female,19,1,27,0,8,5
1010,Female,20,0,0,0,25,15
1011,Male,20,0,9,0,36,18
1012,Female,23,0,14,0,18,37
1013,Male,24,1,4,0,39,40
1014,Female,21,0,28,0,2,38
1015,Male,23,0,0,0,26,1
1016,Male,19,0,13,0,35,33
1017,Male,25,0,6,0,3,19
1018,Female,21,0,1,0,5,35
1019,Male,23,0,8,0,10,15
1020,Female,22,1,36,0,40,12
1021,Male,21,0,27,0,30,22
1022,Male,23,1,16,0,28,22
1023,Male,25,1,15,0,2,39
1024,Male,25,1,13,0,0,28
1025,Female,18,0,24,0,29,14
1026,Male,22,1,11,0,35,2
